"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.847231","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Spatial Distribution Score","MeanState","global","score","1","0.903942","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Bias","MeanState","global","scalar","kg m-2","2.10761","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Bias Score","MeanState","global","score","1","0.329733","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Overall Score","MeanState","global","score","1","0.616837","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.282126","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.548264","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.318826","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.634916","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.304891","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.478139","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Overall Score","Relationships","global","score","1","0.553773","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.04966","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.858994","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.68051","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","3.92833","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.337453","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Spatial Distribution Score","MeanState","global","score","1","0.574564","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Bias","MeanState","global","scalar","kg m-2","-1.12133","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Bias Score","MeanState","global","score","1","0.376663","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Overall Score","MeanState","global","score","1","0.475613","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Overall Score","Relationships","global","score","1","0","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.18239","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","1.88439","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Period Mean (original grids)","MeanState","global","scalar","kg m-2","3.20849","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.17484","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.0456717","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Spatial Distribution Score","MeanState","global","score","1","0.80446","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Bias","MeanState","global","scalar","kg m-2","-1.00755","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Bias Score","MeanState","global","score","1","0.314133","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Overall Score","MeanState","global","score","1","0.559297","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","nan","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.489707","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.495298","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.358903","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.62727","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Overall Score","Relationships","global","score","1","nan","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.04966","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.858994","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.23066","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.14353","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.435598","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Spatial Distribution Score","MeanState","global","score","1","0.894509","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias","MeanState","global","scalar","kg m-2","1.09387","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Bias Score","MeanState","global","score","1","0.368733","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","MeanState","global","score","1","0.631621","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.285755","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.64521","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.377791","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.676173","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.303755","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.652312","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","Relationships","global","score","1","0.657898","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.76085","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.197451","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.73831","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.80779","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","1.3941","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Spatial Distribution Score","MeanState","global","score","1","0.846228","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Bias","MeanState","global","scalar","kg m-2","2.04693","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Bias Score","MeanState","global","score","1","0.328053","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Overall Score","MeanState","global","score","1","0.58714","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.287215","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.596777","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.36403","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.668437","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.282356","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.566316","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Overall Score","Relationships","global","score","1","0.61051","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.92316","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","3.19045","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.73509","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.1326","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.330038","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.754061","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Bias","MeanState","global","scalar","kg m-2","-0.776659","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Bias Score","MeanState","global","score","1","0.413315","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Overall Score","MeanState","global","score","1","0.583688","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.185611","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.790939","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.264819","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.771487","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.186926","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.769704","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JSBACH","Overall Score","Relationships","global","score","1","0.777377","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.78441","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","1.37154","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Period Mean (original grids)","MeanState","global","scalar","kg m-2","5.20143","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","7.28366","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","2.07269","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Spatial Distribution Score","MeanState","global","score","1","0.798537","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Bias","MeanState","global","scalar","kg m-2","2.48825","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Bias Score","MeanState","global","score","1","0.32173","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Overall Score","MeanState","global","score","1","0.560134","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.340767","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.441551","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.407724","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.646308","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.374413","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.502815","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","JULES","Overall Score","Relationships","global","score","1","0.530224","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.05639","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.859922","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.53474","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","3.66874","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.288299","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Spatial Distribution Score","MeanState","global","score","1","0.696384","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Bias","MeanState","global","scalar","kg m-2","-1.38765","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Bias Score","MeanState","global","score","1","0.436568","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Overall Score","MeanState","global","score","1","0.566476","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJ-GUESS","Overall Score","Relationships","global","score","1","0","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.05603","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.860164","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.6037","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.60196","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.647264","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Spatial Distribution Score","MeanState","global","score","1","0.763124","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Bias","MeanState","global","scalar","kg m-2","1.54593","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Bias Score","MeanState","global","score","1","0.322518","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Overall Score","MeanState","global","score","1","0.542821","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPJwsl","Overall Score","Relationships","global","score","1","0","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.82038","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.212167","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Period Mean (original grids)","MeanState","global","scalar","kg m-2","3.18525","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.61222","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.375123","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Spatial Distribution Score","MeanState","global","score","1","0.653236","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Bias","MeanState","global","scalar","kg m-2","-0.208166","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Bias Score","MeanState","global","score","1","0.370854","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Overall Score","MeanState","global","score","1","0.512045","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.387865","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.462009","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.345551","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.7149","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.308593","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.654962","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","LPX-Bern","Overall Score","Relationships","global","score","1","0.610624","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.95787","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","1.62233","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","OCN","Period Mean (original grids)","MeanState","global","scalar","kg m-2","3.95588","20.0"
